ID NUTS YYYY MM 0 BAREA
485 CZ031 2006 04 5 0.422728
486 CZ031 2006 05 5 3.01639
487 CZ031 2006 06 2 0.129287
488 CZ031 2006 07 4 0.23045
489 CZ031 2006 09 3 0.120826
490 CZ031 2006 10 4 0.00803731
491 CZ031 2006 11 5 0.28404
492 CZ031 2006 12 5 0.691518
493 CZ032 2004 04 2 13.5171
494 CZ032 2006 04 2 7.39193
495 CZ032 2006 05 2 0.650117
496 CZ032 2006 06 2 0.576514
497 CZ032 2006 07 2 0.573189
498 CZ032 2006 08 3 0.0871045
499 CZ032 2006 09 3 0.577752
500 CZ032 2006 10 3 0.0238921
501 CZ032 2006 11 3 0.00869638
502 CZ032 2006 12 3 0.0428257
503 CZ041 2006 04 2 9.24986
504 CZ041 2006 05 4 1.01741
505 CZ041 2006 07 4 0.676825
506 CZ041 2006 08 3 0.247137
507 CZ041 2006 09 2 0.0297836
508 CZ041 2006 10 2 0.00172912
509 CZ041 2006 11 2 0.0129302
510 CZ042 2004 06 2 13.5526
511 CZ042 2006 04 4 1.25128
512 CZ042 2006 05 4 7.61324
513 CZ042 2006 06 4 0.928723
514 CZ042 2006 07 4 261.418
515 CZ042 2006 08 2 0.00342008
516 CZ042 2006 09 2 2.18124
517 CZ042 2006 10 4 0.220816
518 CZ051 2006 03 2 0.00259678
519 CZ051 2006 04 4 0.194625
520 CZ051 2006 05 4 0.0434952
521 CZ051 2006 06 4 4.0513
522 CZ051 2006 07 4 5.56088
523 CZ051 2006 08 4 0.0422898
524 CZ051 2006 09 4 0.283525
525 CZ051 2006 10 4 0.0121199
526 CZ052 2006 04 2 0.188787
527 CZ052 2006 06 2 0.539782
528 CZ052 2006 07 2 3.05991
529 CZ052 2006 09 5 0.0859136
530 CZ052 2006 10 5 1.63926
531 CZ053 2006 04 2 0.0177711
532 CZ053 2006 05 4 0.519223
533 CZ053 2006 06 2 0.0620494
534 CZ053 2006 07 2 3.76085
535 CZ053 2006 08 2 0.0143413
536 CZ053 2006 09 3 2.51401
537 CZ061 2006 04 3 1.59017
538 CZ061 2006 05 4 0.0568428
539 CZ061 2006 06 4 0.341234
540 CZ061 2006 07 4 2.99631
541 CZ061 2006 09 4 0.533612
542 CZ061 2006 10 4 0.164172
543 CZ061 2006 11 3 0.0755874
544 CZ061 2006 12 4 0.0398106
545 CZ062 2006 04 3 0.547727
546 CZ062 2006 05 2 0.0134157
547 CZ062 2006 07 2 1.62121
